Lro flight direction	North azimuth	Sub solar azimuth	Image Name
-X	90.78	178.97	M103796812RC_pyr.tif
-X	87.97	175.26	M103775477LC_pyr.tif
-X	88.15	179.27	M103796812LC_pyr.tif
-X	90.96	175.09	M103775477RC_pyr.tif
-X	88.15	179.53	M103803961LC_pyr.tif
-X	87.83	173.79	M103811313LC_pyr.tif
-X	90.95	173.67	M103811313RC_pyr.tif
-X	90.76	179.23	M103803961RC_pyr.tif
-X	87.83	173.77	M103818471LC_pyr.tif
-X	90.95	173.65	M103818471RC_pyr.tif
-X	90.94	173.78	M103825623RC_pyr.tif
-X	87.84	173.91	M103825623LC_pyr.tif
-X	87.85	174.1	M103832773LC_pyr.tif
-X	90.93	173.91	M103839931RC_pyr.tif
-X	90.93	173.96	M103832773RC_pyr.tif
-X	87.84	174.05	M103839931LC_pyr.tif
-X	87.86	174.42	M103847075LC_pyr.tif
-X	90.92	168.87	M106138968RC_pyr.tif
-X	90.9	174.28	M103847075RC_pyr.tif
-X	90.81	177.22	M106138859RC_pyr.tif
-X	87.93	168.98	M106138968LC_pyr.tif
-X	90.7	184.54	M106145934RC_pyr.tif
-X	87.94	169.97	M106146129LC_pyr.tif
-X	88.23	184.98	M106145934LC_pyr.tif
-X	90.89	169.84	M106146129RC_pyr.tif
-X	87.89	168.22	M106153328LC_pyr.tif
-X	90.9	167.83	M106160506RC_pyr.tif
-X	90.9	168.12	M106153328RC_pyr.tif
-X	87.87	167.92	M106160506LC_pyr.tif
-X	90.89	167.89	M106167682RC_pyr.tif
-X	87.87	167.98	M106167682LC_pyr.tif
-X	87.87	168.31	M106174856LC_pyr.tif
-X	90.88	168.21	M106174856RC_pyr.tif
-X	87.85	167.36	M106182036LC_pyr.tif
-X	90.89	167.28	M106182036RC_pyr.tif
-X	87.77	164.36	M106189252LC_pyr.tif
-X	87.77	164.38	M106196425LC_pyr.tif
-X	90.93	164.34	M106189252RC_pyr.tif
-X	90.93	164.35	M106196425RC_pyr.tif
-X	90.86	128.8	M108495487RC_pyr.tif
-X	87.85	128.62	M108495487LC_pyr.tif
-X	90.69	165.77	M108502140RC_pyr.tif
-X	88.07	165.91	M108502140LC_pyr.tif
-X	90.59	199.83	M108508848RC_pyr.tif
-X	88.19	200.47	M108508848LC_pyr.tif
-X	88.17	200.36	M108515639LC_pyr.tif
-X	90.58	199.73	M108515639RC_pyr.tif
-X	90.58	200.17	M108522428RC_pyr.tif
-X	88.15	197.11	M108529228LC_pyr.tif
-X	88.17	200.81	M108522428LC_pyr.tif
-X	90.58	196.52	M108529228RC_pyr.tif
-X	87.78	125.58	M108536234LC_pyr.tif
-X	253.6	290.97	M108543014RC_pyr.tif
-X	90.82	125.78	M108536234RC_pyr.tif
-X	257.27	291.99	M108543014LC_pyr.tif
-X	90.8	126.47	M108549865RC_pyr.tif
-X	87.81	127.3	M108556714LC_pyr.tif
-X	87.8	126.27	M108549865LC_pyr.tif
-X	90.79	127.5	M108556714RC_pyr.tif
+X	268.54	198.15	M110852680LC_pyr.tif
+X	264.9	197.59	M110852680RC_pyr.tif
-X	88.16	204.46	M108563357LC_pyr.tif
-X	90.55	203.76	M108563357RC_pyr.tif
+X	271.59	179.91	M110866130LC_pyr.tif
+X	268.29	179.57	M110866130RC_pyr.tif
+X	271.61	181.01	M110859347LC_pyr.tif
+X	268.3	180.65	M110859347RC_pyr.tif
+X	268.1	198.68	M110879850RC_pyr.tif
+X	268.29	178.5	M110872912RC_pyr.tif
+X	271.56	178.83	M110872912LC_pyr.tif
+X	271.79	199.29	M110879850LC_pyr.tif
+X	268.28	177.17	M110886482RC_pyr.tif
+X	271.54	177.48	M110886482LC_pyr.tif
+X	268.29	175.94	M110893263RC_pyr.tif
+X	271.52	176.23	M110893263LC_pyr.tif
+X	268.26	179.8	M110900080RC_pyr.tif
+X	271.76	196.53	M110906988LC_pyr.tif
+X	271.56	180.14	M110900080LC_pyr.tif
+X	268.12	195.96	M110906988RC_pyr.tif
+X	268.22	185.04	M110913700RC_pyr.tif
+X	268.23	184.14	M110920477RC_pyr.tif
+X	271.62	185.46	M110913700LC_pyr.tif
+X	271.61	184.55	M110920477LC_pyr.tif
+X	268.14	185.37	M113215869RC_pyr.tif
+X	271.77	185.58	M113222662LC_pyr.tif
+X	271.79	185.83	M113215869LC_pyr.tif
+X	268.13	185.12	M113222662RC_pyr.tif
+X	271.73	185.5	M113243044LC_pyr.tif
+X	268.08	185.74	M113236259RC_pyr.tif
+X	271.76	186.22	M113236259LC_pyr.tif
+X	268.09	185.05	M113243044RC_pyr.tif
+X	271.72	185.06	M113263415LC_pyr.tif
+X	268.08	185.31	M113256637RC_pyr.tif
+X	271.74	185.77	M113256637LC_pyr.tif
+X	268.1	184.61	M113263415RC_pyr.tif
+X	268.09	184.85	M113270214RC_pyr.tif
+X	271.68	184.02	M113283770LC_pyr.tif
+X	271.73	185.31	M113270214LC_pyr.tif
+X	268.12	183.6	M113283770RC_pyr.tif
+X	88.75	176.07	M119116150LC_pyr.tif
+X	91.67	175.71	M119122930RC_pyr.tif
+X	88.75	175.9	M119122930LC_pyr.tif
+X	91.64	175.88	M119116150RC_pyr.tif
+X	88.77	175.8	M119129713LC_pyr.tif
+X	91.72	175.41	M119136492RC_pyr.tif
+X	91.69	175.62	M119129713RC_pyr.tif
+X	88.77	175.58	M119136492LC_pyr.tif
