Image Name,crater_lat,crater_long
M1260669909RC_pyr.tif,-6.762124,96.816438
M1260669909RC_pyr.tif,-6.761567,96.821564
M1260669909RC_pyr.tif,-6.761444,96.795996
M1260669909RC_pyr.tif,-6.760609,96.81838
M1260669909RC_pyr.tif,-6.759124,96.822806
M1260669909RC_pyr.tif,-6.758722,96.764537
M1260669909RC_pyr.tif,-6.756867,96.790615
M1260669909RC_pyr.tif,-6.756619,96.83914
M1260669909RC_pyr.tif,-6.756527,96.837262
M1260669909RC_pyr.tif,-6.754888,96.821564
M1260669909RC_pyr.tif,-6.754609,96.819335
M1260669909RC_pyr.tif,-6.754084,96.833727
M1260669909RC_pyr.tif,-6.753311,96.750814
M1260669909RC_pyr.tif,-6.752445,96.836498
M1260669909RC_pyr.tif,-6.75229,96.758519
M1260669909RC_pyr.tif,-6.751455,96.770969
M1260669909RC_pyr.tif,-6.750929,96.765429
M1260669909RC_pyr.tif,-6.750806,96.827869
M1260669909RC_pyr.tif,-6.750775,96.757755
M1260669909RC_pyr.tif,-6.75062,96.825512
M1260669909RC_pyr.tif,-6.750404,96.838535
M1260669909RC_pyr.tif,-6.750063,96.767435
M1260669909RC_pyr.tif,-6.749414,96.778834
M1260669909RC_pyr.tif,-6.749229,96.750145
M1260669909RC_pyr.tif,-6.749229,96.750941
M1260669909RC_pyr.tif,-6.748208,96.754157
M1260669909RC_pyr.tif,-6.747095,96.75715
M1260669909RC_pyr.tif,-6.747002,96.797715
M1260669909RC_pyr.tif,-6.746167,96.83239
M1260669909RC_pyr.tif,-6.745641,96.772052
M1260669909RC_pyr.tif,-6.745394,96.77635
M1260669909RC_pyr.tif,-6.745239,96.760207
M1260669909RC_pyr.tif,-6.745116,96.782304
M1260669909RC_pyr.tif,-6.744992,96.758997
M1260669909RC_pyr.tif,-6.744312,96.814113
M1260669909RC_pyr.tif,-6.744281,96.763837
M1260669909RC_pyr.tif,-6.743538,96.786571
M1260669909RC_pyr.tif,-6.742487,96.760016
M1260669909RC_pyr.tif,-6.742085,96.746738
M1260669909RC_pyr.tif,-6.741745,96.835097
M1260669909RC_pyr.tif,-6.741714,96.782846
M1260669909RC_pyr.tif,-6.741188,96.769186
M1260669909RC_pyr.tif,-6.741126,96.8272
M1260669909RC_pyr.tif,-6.740848,96.758679
M1260669909RC_pyr.tif,-6.740384,96.752915
M1260669909RC_pyr.tif,-6.739209,96.816342
M1260669909RC_pyr.tif,-6.73825,96.747598
M1260669909RC_pyr.tif,-6.737013,96.797811
M1260669909RC_pyr.tif,-6.736704,96.757914
M1260669909RC_pyr.tif,-6.736426,96.829301
M1260669909RC_pyr.tif,-6.735745,96.789628
M1260669909RC_pyr.tif,-6.735343,96.824716
M1260669909RC_pyr.tif,-6.734663,96.763741
M1260669909RC_pyr.tif,-6.734478,96.77272
M1260669909RC_pyr.tif,-6.734354,96.749572
M1260669909RC_pyr.tif,-6.733612,96.75317
M1260669909RC_pyr.tif,-6.733179,96.779025
M1260669909RC_pyr.tif,-6.732622,96.767849
M1260669909RC_pyr.tif,-6.731818,96.825767
M1260669909RC_pyr.tif,-6.731756,96.762595
M1260669909RC_pyr.tif,-6.731014,96.81631
M1260669909RC_pyr.tif,-6.730767,96.754858
M1260669909RC_pyr.tif,-6.730519,96.782336
M1260669909RC_pyr.tif,-6.730303,96.785648
M1260669909RC_pyr.tif,-6.730055,96.786858
M1260669909RC_pyr.tif,-6.729159,96.811694
M1260669909RC_pyr.tif,-6.728973,96.780171
M1260669909RC_pyr.tif,-6.728664,96.773357
M1260669909RC_pyr.tif,-6.72854,96.782527
M1260669909RC_pyr.tif,-6.728478,96.804943
M1260669909RC_pyr.tif,-6.728231,96.820545
M1260669909RC_pyr.tif,-6.727767,96.80367
M1260669909RC_pyr.tif,-6.726128,96.790105
M1260669909RC_pyr.tif,-6.726004,96.80125
M1260669909RC_pyr.tif,-6.725571,96.782241
M1260669909RC_pyr.tif,-6.725386,96.763773
M1260669909RC_pyr.tif,-6.724087,96.771383
M1260669909RC_pyr.tif,-6.723623,96.772338
M1260669909RC_pyr.tif,-6.722912,96.776287
M1260669909RC_pyr.tif,-6.722664,96.801536
M1260669909RC_pyr.tif,-6.722541,96.766511
M1260669909RC_pyr.tif,-6.722448,96.816279
M1260669909RC_pyr.tif,-6.722293,96.814209
M1260669909RC_pyr.tif,-6.722108,96.773325
M1260669909RC_pyr.tif,-6.721984,96.788641
M1260669909RC_pyr.tif,-6.721273,96.78154
M1260669909RC_pyr.tif,-6.720902,96.815546
M1260669909RC_pyr.tif,-6.720871,96.827709
M1260669909RC_pyr.tif,-6.719912,96.773707
M1260669909RC_pyr.tif,-6.71951,96.782336
M1260669909RC_pyr.tif,-6.719046,96.815514
M1260669909RC_pyr.tif,-6.719015,96.777114
M1260669909RC_pyr.tif,-6.718304,96.773453
M1260669909RC_pyr.tif,-6.718242,96.82927
M1260669909RC_pyr.tif,-6.717655,96.790519
M1260669909RC_pyr.tif,-6.71716,96.769536
M1260669909RC_pyr.tif,-6.716418,96.788131
M1260669909RC_pyr.tif,-6.71515,96.819908
M1260669909RC_pyr.tif,-6.714748,96.776796
M1260669909RC_pyr.tif,-6.71416,96.810452
M1260669909RC_pyr.tif,-6.714098,96.784852
M1260669909RC_pyr.tif,-6.713975,96.758488
M1260669909RC_pyr.tif,-6.713789,96.832581
M1260669909RC_pyr.tif,-6.713387,96.772211
M1260669909RC_pyr.tif,-6.712243,96.83325
M1260669909RC_pyr.tif,-6.711655,96.771956
M1260669909RC_pyr.tif,-6.711532,96.774981
M1260669909RC_pyr.tif,-6.711006,96.749317
M1260669909RC_pyr.tif,-6.710944,96.833536
M1260669909RC_pyr.tif,-6.709985,96.802078
M1260669909RC_pyr.tif,-6.709954,96.764569
M1260669909RC_pyr.tif,-6.709429,96.752438
M1260669909RC_pyr.tif,-6.708408,96.790997
M1260669909RC_pyr.tif,-6.70813,96.820991
M1260669909RC_pyr.tif,-6.708006,96.757309
M1260669909RC_pyr.tif,-6.707419,96.767371
M1260669909RC_pyr.tif,-6.707326,96.791698
M1260669909RC_pyr.tif,-6.705718,96.827232
M1260669909RC_pyr.tif,-6.705718,96.824748
M1260669909RC_pyr.tif,-6.704821,96.775682
M1260669909RC_pyr.tif,-6.704728,96.795805
M1260669909RC_pyr.tif,-6.703182,96.818062
M1260669909RC_pyr.tif,-6.702904,96.829238
M1260669909RC_pyr.tif,-6.702471,96.828092
M1260669909RC_pyr.tif,-6.7021,96.812171
