robins_lat,robins_long
-6.80002,28.5334
-6.79992,74.5423
-6.7998,204.116
-6.79976,167.49
-6.79975,138.161
-6.79967,161.472
-6.79951,358.881
-6.79945,47.8684
-6.7994,1.68735
-6.79938,30.4846
-6.7993,242.582
-6.79929,7.92333
-6.79918,125.606
-6.79917,341.503
-6.79898,68.9091
-6.79892,356.261
-6.79841,255.073
-6.79811,23.1119
-6.79802,222.916
-6.798,279.948
-6.79799,7.20347
-6.79799,98.6935
-6.79794,120.747
-6.79772,296.715
-6.79768,77.5539
-6.79767,286.074
-6.79765,187.733
-6.79749,266.05
-6.79743,127.75
-6.79741,102.237
-6.79723,68.5017
-6.79722,202.796
-6.79702,192.545
-6.79696,93.4499
-6.79691,345.919
-6.7969,209.833
-6.79688,254.259
-6.79634,72.0251
-6.79621,33.4917
-6.79621,166.66
-6.79619,71.6975
-6.79612,64.6838
-6.79609,80.3361
-6.79609,162.353
-6.79605,125.845
-6.79592,213.333
-6.79592,194.051
-6.79574,77.6778
-6.79562,271.503
-6.79552,53.7615
-6.79543,14.4457
-6.79533,172.343
-6.79528,331.182
-6.79518,251.246
-6.79503,208.668
-6.79493,102.301
-6.79463,162.299
-6.79437,72.8614
-6.79434,30.6363
-6.79426,195.024
-6.79424,221.641
-6.79423,186.576
-6.79412,70.7044
-6.79409,90.0233
-6.79397,272.787
-6.79381,101.363
-6.79356,169.503
-6.79339,181.235
-6.79338,161.743
-6.7932,165.339
-6.79319,166.854
-6.79311,98.847
-6.79307,344.926
-6.79304,286.876
-6.79291,126.418
-6.7929,48.2915
-6.79286,71.5046
-6.79285,74.6805
-6.79282,98.2688
-6.79272,207.253
-6.79258,295.029
-6.79253,8.04883
-6.79245,231.005
-6.79234,109.762
-6.79229,157.385
-6.79216,204.237
-6.79201,125.298
-6.79184,124.079
-6.7918,147.411
-6.79158,22.2904
-6.79137,157.039
-6.79128,72.9648
-6.79127,100.1
-6.79122,24.1421
-6.79099,113.911
-6.79098,38.032
-6.79088,167.263
-6.79081,145.04
-6.79078,28.8431
-6.79038,66.2647
-6.7901,341.652
-6.79006,92.83
-6.78999,142.142
-6.78979,29.5226
-6.78978,167.184
-6.78964,176.881
-6.78956,79.5461
-6.78953,99.3489
-6.78951,1.44539
-6.78945,101.221
-6.78934,143.62
-6.7892,35.7422
-6.78918,99.9276
-6.78917,33.5964
-6.78914,205.762
-6.78906,143.231
-6.78892,63.8742
-6.7889,264.792
-6.78876,19.3584
-6.78854,116.709
-6.78853,208.31
-6.78843,142.683
-6.78836,205.892
-6.78824,66.5011
-6.78824,122.564
-6.78823,183.756
-6.7879,354.567
-6.78771,68.7948
-6.78757,137.881
-6.78756,147.882
-6.78742,301.101
-6.7874,213.141
-6.7873,341.574
-6.78718,193.034
-6.78717,301.553
-6.78707,168.423
-6.78695,153.609
