Image Name,Upper left latitude,Upper left longitude,Lower left latitude,Upper right latitude,Lower left longitude,Image lines,Line samples
M103796812RC_pyr.tif,-0.67,109.36,-2.64,-0.67,109.36,52224,5064
M103775477LC_pyr.tif,-7.74,112.49,-9.56,-7.74,112.49,52224,5064
M103796812LC_pyr.tif,-0.68,109.18,-2.64,-0.68,109.19,52224,5064
M103775477RC_pyr.tif,-7.74,112.65,-9.56,-7.74,112.65,52224,5064
M103803961LC_pyr.tif,-0.21,108.09,-2.17,-0.21,108.09,52224,5064
M103811313LC_pyr.tif,-10.1,107.04,-11.86,-10.1,107.04,52224,5064
M103811313RC_pyr.tif,-10.09,107.19,-11.85,-10.09,107.2,52224,5064
M103803961RC_pyr.tif,-0.2,108.26,-2.17,-0.2,108.27,52224,5064
M103818471LC_pyr.tif,-10.08,105.94,-11.87,-10.08,105.95,52224,5064
M103818471RC_pyr.tif,-10.08,106.1,-11.86,-10.08,106.11,52224,5064
M103825623RC_pyr.tif,-9.81,105.01,-11.6,-9.81,105.01,52224,5064
M103825623LC_pyr.tif,-9.82,104.85,-11.6,-9.82,104.86,52224,5064
M103832773LC_pyr.tif,-9.46,103.76,-11.24,-9.46,103.76,52224,5064
M103839931RC_pyr.tif,-9.49,102.82,-11.29,-9.49,102.83,52224,5064
M103832773RC_pyr.tif,-9.45,103.92,-11.23,-9.45,103.92,52224,5064
M103839931LC_pyr.tif,-9.5,102.66,-11.3,-9.49,102.67,52224,5064
M103847075LC_pyr.tif,-8.8,101.57,-10.62,-8.8,101.58,52224,5064
M106138968RC_pyr.tif,-7.56,112.14,-9.48,-7.56,112.15,52224,5064
M103847075RC_pyr.tif,-8.8,101.73,-10.62,-8.79,101.74,52224,5064
M106138859RC_pyr.tif,-2.05,112.13,-3.45,-2.05,112.13,35840,5064
M106138968LC_pyr.tif,-7.57,111.97,-9.49,-7.57,111.98,52224,5064
M106145934RC_pyr.tif,2.98,111.02,1.47,2.98,111.02,36864,5064
M106146129LC_pyr.tif,-6.84,110.87,-8.78,-6.84,110.88,52224,5064
M106145934LC_pyr.tif,2.98,110.82,1.47,2.98,110.83,36864,5064
M106146129RC_pyr.tif,-6.83,111.04,-8.78,-6.83,111.05,52224,5064
M106153328LC_pyr.tif,-8.04,109.78,-9.94,-8.04,109.79,52224,5064
M106160506RC_pyr.tif,-8.21,108.86,-10.11,-8.21,108.86,52224,5064
M106153328RC_pyr.tif,-8.04,109.95,-9.94,-8.03,109.96,52224,5064
M106160506LC_pyr.tif,-8.22,108.69,-10.12,-8.22,108.7,52224,5064
M106167682RC_pyr.tif,-8.29,107.76,-9.89,-8.29,107.77,44032,5064
M106167682LC_pyr.tif,-8.3,107.59,-9.9,-8.29,107.6,44032,5064
M106174856LC_pyr.tif,-8.24,106.5,-9.44,-8.24,106.5,32768,5064
M106174856RC_pyr.tif,-8.24,106.67,-9.43,-8.24,106.67,32768,5064
M106182036LC_pyr.tif,-8.52,105.4,-10.42,-8.52,105.41,52224,5064
M106182036RC_pyr.tif,-8.51,105.57,-10.42,-8.51,105.58,52224,5064
M106189252LC_pyr.tif,-10.62,104.32,-12.48,-10.62,104.33,52224,5064
M106196425LC_pyr.tif,-10.57,103.22,-12.44,-10.57,103.23,52224,5064
M106189252RC_pyr.tif,-10.61,104.48,-12.48,-10.61,104.49,52224,5064
M106196425RC_pyr.tif,-10.57,103.39,-12.43,-10.57,103.4,52224,5064
M108495487RC_pyr.tif,-9.94,112.6,-10.91,-9.94,112.6,52224,5064
M108495487LC_pyr.tif,-9.95,112.51,-10.91,-9.94,112.52,52224,5064
M108502140RC_pyr.tif,-2.7,111.53,-3.66,-2.7,111.53,52224,5064
M108502140LC_pyr.tif,-2.7,111.45,-3.66,-2.7,111.45,52224,5064
M108508848RC_pyr.tif,1.7,110.47,0.72,1.7,110.48,52224,5064
M108508848LC_pyr.tif,1.7,110.39,0.71,1.7,110.39,52224,5064
M108515639LC_pyr.tif,1.65,109.34,0.67,1.65,109.35,52224,5064
M108515639RC_pyr.tif,1.65,109.43,0.67,1.66,109.43,52224,5064
M108522428RC_pyr.tif,1.68,108.38,0.7,1.68,108.39,52224,5064
M108529228LC_pyr.tif,1.16,107.26,0.18,1.16,107.26,52224,5064
M108522428LC_pyr.tif,1.68,108.3,0.7,1.68,108.3,52224,5064
M108529228RC_pyr.tif,1.16,107.34,0.18,1.17,107.35,52224,5064
M108536234LC_pyr.tif,-10.3,106.27,-11.24,-10.3,106.27,52224,5064
M108543014RC_pyr.tif,-10.12,105.32,-11.09,-10.14,105.33,52224,5064
M108536234RC_pyr.tif,-10.3,106.35,-11.24,-10.3,106.36,52224,5064
M108543014LC_pyr.tif,-10.1,105.4,-11.07,-10.12,105.41,52224,5064
M108549865RC_pyr.tif,-9.82,104.26,-10.78,-9.82,104.26,52224,5064
M108556714LC_pyr.tif,-9.38,103.12,-10.35,-9.38,103.13,52224,5064
M108549865LC_pyr.tif,-9.82,104.17,-10.79,-9.82,104.18,52224,5064
M108556714RC_pyr.tif,-9.38,103.21,-10.35,-9.38,103.21,52224,5064
M110852680LC_pyr.tif,-7.95,112.99,-9.09,-7.95,113.07,52224,5064
M110852680RC_pyr.tif,-7.95,112.89,-9.09,-7.95,112.97,52224,5064
M108563357LC_pyr.tif,1.97,102.02,0.96,1.97,102.03,52224,5064
M108563357RC_pyr.tif,1.98,102.11,0.96,1.98,102.11,52224,5064
M110866130LC_pyr.tif,-1.11,111.01,-2.23,-1.11,111.02,52224,5064
M110866130RC_pyr.tif,-1.12,110.92,-2.23,-1.12,110.92,52224,5064
M110859347LC_pyr.tif,-1.5,112.06,-2.62,-1.5,112.06,52224,5064
M110859347RC_pyr.tif,-1.5,111.96,-2.62,-1.5,111.96,52224,5064
M110879850RC_pyr.tif,-8.49,108.86,-9.6,-8.49,108.87,52224,5064
M110872912RC_pyr.tif,-0.73,109.87,-1.85,-0.73,109.88,52224,5064
M110872912LC_pyr.tif,-0.73,109.97,-1.84,-0.73,109.97,52224,5064
M110879850LC_pyr.tif,-8.48,108.96,-9.6,-8.49,108.97,52224,5064
M110886482RC_pyr.tif,-0.24,107.78,-1.35,-0.24,107.78,52224,5064
M110886482LC_pyr.tif,-0.23,107.88,-1.35,-0.23,107.88,52224,5064
M110893263RC_pyr.tif,0.23,106.73,-0.89,0.23,106.74,52224,5064
M110893263LC_pyr.tif,0.23,106.83,-0.89,0.23,106.83,52224,5064
M110900080RC_pyr.tif,-1.22,105.69,-2.33,-1.22,105.7,52224,5064
M110906988LC_pyr.tif,-7.49,104.78,-8.6,-7.49,104.79,52224,5064
M110900080LC_pyr.tif,-1.21,105.79,-2.33,-1.21,105.8,52224,5064
M110906988RC_pyr.tif,-7.49,104.68,-8.61,-7.49,104.69,52224,5064
M110913700RC_pyr.tif,-3.48,103.62,-4.06,-3.48,103.62,26624,5064
M110920477RC_pyr.tif,-2.87,102.58,-4.01,-2.87,102.59,52224,5064
M110913700LC_pyr.tif,-3.48,103.72,-4.06,-3.48,103.72,26624,5064
